x,u1,u2,u1_аналит,u2_аналит,Ошибка_u1,Ошибка_u2
0.785000,9.921809,9.921809,9.921807,9.921807,1.947090e-06,1.947090e-06
0.790000,9.921313,9.921313,9.921311,9.921311,1.959394e-06,1.959394e-06
0.795000,9.920817,9.920817,9.920815,9.920815,1.971696e-06,1.971696e-06
0.800000,9.920321,9.920321,9.920319,9.920319,1.983998e-06,1.983998e-06
0.805000,9.919825,9.919825,9.919823,9.919823,1.996298e-06,1.996298e-06
0.810000,9.919329,9.919329,9.919327,9.919327,2.008597e-06,2.008597e-06
0.815000,9.918833,9.918833,9.918831,9.918831,2.020895e-06,2.020895e-06
0.820000,9.918337,9.918337,9.918335,9.918335,2.033191e-06,2.033191e-06
0.825000,9.917841,9.917841,9.917839,9.917839,2.045486e-06,2.045486e-06
0.830000,9.917346,9.917346,9.917343,9.917343,2.057780e-06,2.057780e-06
0.835000,9.916850,9.916850,9.916848,9.916848,2.070073e-06,2.070073e-06
0.840000,9.916354,9.916354,9.916352,9.916352,2.082365e-06,2.082365e-06
0.845000,9.915858,9.915858,9.915856,9.915856,2.094655e-06,2.094655e-06
0.850000,9.915362,9.915362,9.915360,9.915360,2.106944e-06,2.106944e-06
0.855000,9.914867,9.914867,9.914864,9.914864,2.119232e-06,2.119232e-06
0.860000,9.914371,9.914371,9.914369,9.914369,2.131518e-06,2.131518e-06
0.865000,9.913875,9.913875,9.913873,9.913873,2.143804e-06,2.143804e-06
0.870000,9.913380,9.913380,9.913377,9.913377,2.156088e-06,2.156088e-06
0.875000,9.912884,9.912884,9.912882,9.912882,2.168371e-06,2.168371e-06
0.880000,9.912388,9.912388,9.912386,9.912386,2.180652e-06,2.180652e-06
0.885000,9.911893,9.911893,9.911890,9.911890,2.192933e-06,2.192933e-06
0.890000,9.911397,9.911397,9.911395,9.911395,2.205212e-06,2.205212e-06
0.895000,9.910902,9.910902,9.910899,9.910899,2.217490e-06,2.217490e-06
0.900000,9.910406,9.910406,9.910404,9.910404,2.229767e-06,2.229767e-06
0.905000,9.909911,9.909911,9.909908,9.909908,2.242042e-06,2.242042e-06
0.910000,9.909415,9.909415,9.909413,9.909413,2.254316e-06,2.254316e-06
0.915000,9.908920,9.908920,9.908917,9.908917,2.266589e-06,2.266589e-06
0.920000,9.908424,9.908424,9.908422,9.908422,2.278861e-06,2.278861e-06
0.925000,9.907929,9.907929,9.907926,9.907926,2.291132e-06,2.291132e-06
0.930000,9.907433,9.907433,9.907431,9.907431,2.303401e-06,2.303401e-06
0.935000,9.906938,9.906938,9.906936,9.906936,2.315669e-06,2.315669e-06
0.940000,9.906443,9.906443,9.906440,9.906440,2.327936e-06,2.327936e-06
0.945000,9.905947,9.905947,9.905945,9.905945,2.340202e-06,2.340202e-06
0.950000,9.905452,9.905452,9.905450,9.905450,2.352466e-06,2.352466e-06
0.955000,9.904957,9.904957,9.904955,9.904955,2.364729e-06,2.364729e-06
